alpha=0.2
gamma=0.6
selection_rate=1
max_gen=2000
job_num=200
machine_num=5
pop_size=100
Threshold=18457
scenario_num=20
{
	{
		{36, 47, 16, 44, 31},
		{60, 76, 51, 27, 28},
		{48, 21, 99, 70, 97},
		{47, 46, 92, 50, 23},
		{38, 82, 37, 62, 44},
		{38, 56, 26, 28, 42},
		{26, 15, 43, 12, 51},
		{72, 49, 60, 58, 56},
		{75, 78, 73, 90, 33},
		{50, 30, 71, 23, 79},
		{89, 20, 88, 19, 88},
		{89, 55, 39, 29, 70},
		{91, 30, 85, 43, 48},
		{94, 16, 76, 98, 35},
		{67, 24, 15, 62, 61},
		{71, 96, 10, 98, 87},
		{35, 65, 58, 60, 74},
		{65, 49, 87, 47, 20},
		{73, 47, 24, 82, 98},
		{47, 26, 10, 95, 77},
		{53, 14, 53, 11, 92},
		{66, 60, 47, 23, 19},
		{36, 43, 63, 37, 38},
		{39, 28, 31, 71, 49},
		{61, 78, 98, 41, 62},
		{48, 95, 98, 99, 23},
		{77, 70, 85, 49, 25},
		{47, 36, 97, 95, 79},
		{10, 99, 39, 90, 55},
		{62, 56, 97, 61, 13},
		{69, 72, 54, 55, 99},
		{94, 71, 97, 28, 34},
		{30, 97, 56, 34, 87},
		{36, 94, 48, 61, 91},
		{68, 72, 68, 65, 36},
		{60, 72, 83, 22, 12},
		{67, 53, 43, 18, 69},
		{73, 34, 19, 64, 11},
		{14, 62, 65, 70, 36},
		{36, 23, 75, 13, 70},
		{53, 97, 16, 69, 61},
		{57, 71, 31, 84, 74},
		{12, 16, 41, 88, 35},
		{77, 60, 10, 44, 44},
		{27, 42, 25, 54, 13},
		{85, 22, 88, 92, 15},
		{46, 20, 11, 35, 72},
		{50, 92, 52, 60, 87},
		{71, 56, 17, 94, 33},
		{34, 86, 34, 16, 20},
		{27, 84, 58, 77, 14},
		{34, 33, 91, 91, 81},
		{94, 26, 54, 52, 22},
		{44, 95, 15, 30, 75},
		{91, 49, 62, 55, 30},
		{37, 63, 31, 25, 29},
		{81, 30, 10, 70, 19},
		{96, 79, 19, 43, 39},
		{48, 61, 56, 26, 79},
		{44, 15, 46, 58, 62},
		{13, 20, 75, 62, 36},
		{47, 85, 98, 61, 69},
		{88, 34, 63, 10, 93},
		{76, 47, 98, 20, 47},
		{51, 93, 71, 82, 25},
		{82, 46, 15, 90, 63},
		{89, 69, 12, 30, 53},
		{88, 40, 35, 23, 16},
		{94, 15, 49, 93, 64},
		{73, 49, 10, 10, 98},
		{77, 63, 93, 36, 22},
		{49, 44, 64, 47, 93},
		{16, 53, 89, 40, 36},
		{34, 53, 75, 46, 85},
		{38, 91, 18, 41, 98},
		{93, 68, 19, 59, 10},
		{13, 42, 25, 72, 81},
		{98, 14, 87, 37, 51},
		{19, 93, 15, 71, 45},
		{64, 71, 61, 66, 22},
		{98, 35, 77, 86, 38},
		{47, 75, 54, 16, 77},
		{60, 46, 64, 32, 83},
		{99, 33, 72, 66, 78},
		{18, 70, 62, 54, 98},
		{53, 74, 31, 40, 31},
		{42, 41, 12, 32, 65},
		{24, 75, 77, 89, 97},
		{87, 97, 12, 37, 91},
		{37, 10, 73, 15, 69},
		{10, 61, 31, 29, 86},
		{88, 77, 62, 59, 54},
		{95, 21, 78, 61, 30},
		{21, 13, 12, 26, 77},
		{70, 57, 82, 17, 28},
		{41, 67, 86, 49, 27},
		{45, 39, 27, 56, 46},
		{70, 85, 84, 72, 65},
		{92, 40, 56, 35, 82},
		{86, 89, 30, 76, 13},
		{88, 83, 84, 79, 48},
		{74, 53, 48, 88, 84},
		{10, 42, 69, 54, 52},
		{89, 85, 14, 20, 56},
		{36, 30, 91, 77, 20},
		{14, 54, 56, 97, 98},
		{27, 17, 70, 40, 51},
		{37, 27, 47, 41, 94},
		{48, 73, 43, 80, 49},
		{21, 31, 22, 69, 48},
		{51, 44, 48, 34, 33},
		{76, 23, 24, 73, 69},
		{35, 37, 95, 78, 29},
		{36, 85, 77, 51, 10},
		{23, 59, 47, 61, 49},
		{94, 46, 22, 74, 72},
		{41, 54, 44, 47, 95},
		{95, 26, 26, 79, 56},
		{30, 29, 70, 87, 35},
		{46, 12, 19, 84, 75},
		{11, 61, 94, 56, 95},
		{88, 55, 97, 64, 41},
		{65, 39, 23, 25, 49},
		{44, 36, 43, 13, 42},
		{76, 83, 48, 20, 13},
		{25, 14, 55, 88, 27},
		{58, 52, 63, 95, 50},
		{42, 94, 41, 61, 86},
		{43, 61, 12, 59, 10},
		{87, 68, 95, 79, 38},
		{19, 38, 28, 80, 33},
		{49, 22, 60, 90, 84},
		{91, 31, 79, 85, 18},
		{17, 24, 83, 16, 81},
		{46, 89, 85, 82, 83},
		{74, 39, 85, 68, 36},
		{71, 58, 93, 60, 46},
		{96, 66, 41, 58, 55},
		{29, 10, 81, 98, 91},
		{78, 56, 48, 95, 86},
		{59, 68, 14, 38, 41},
		{84, 80, 64, 12, 43},
		{98, 68, 82, 51, 20},
		{85, 75, 79, 71, 23}
	},
	{
		{70, 98, 86, 77, 74},
		{74, 70, 61, 11, 79},
		{24, 17, 87, 91, 28},
		{27, 43, 33, 36, 14},
		{34, 99, 11, 59, 92},
		{85, 17, 14, 12, 16},
		{97, 70, 87, 41, 61},
		{97, 14, 12, 21, 42},
		{74, 71, 95, 74, 65},
		{35, 66, 54, 79, 23},
		{67, 86, 34, 80, 64},
		{59, 88, 20, 65, 77},
		{28, 85, 95, 68, 71},
		{11, 51, 51, 76, 49},
		{50, 34, 51, 38, 75},
		{86, 85, 43, 95, 63},
		{31, 15, 85, 48, 47},
		{18, 51, 33, 83, 59},
		{42, 88, 19, 42, 43},
		{36, 62, 15, 74, 77},
		{17, 48, 25, 82, 16},
		{50, 35, 89, 88, 47},
		{93, 92, 95, 82, 62},
		{61, 64, 27, 37, 21},
		{40, 84, 31, 43, 75},
		{93, 24, 16, 33, 65},
		{13, 90, 31, 49, 63},
		{65, 19, 76, 81, 35},
		{34, 86, 76, 72, 47},
		{49, 59, 75, 20, 44},
		{17, 78, 49, 61, 33},
		{43, 75, 59, 57, 32},
		{15, 90, 94, 24, 34},
		{15, 43, 33, 57, 63},
		{83, 37, 64, 60, 86},
		{11, 25, 31, 75, 34},
		{38, 81, 99, 14, 96},
		{59, 15, 97, 44, 62},
		{13, 80, 78, 11, 50},
		{46, 61, 11, 18, 91},
		{57, 99, 95, 33, 79},
		{57, 78, 11, 53, 12},
		{98, 99, 16, 70, 36},
		{86, 45, 16, 92, 27},
		{72, 48, 82, 72, 82},
		{16, 48, 26, 30, 66},
		{65, 79, 16, 70, 43},
		{80, 31, 78, 16, 63},
		{40, 30, 96, 40, 75},
		{29, 80, 26, 39, 40},
		{71, 95, 20, 93, 42},
		{50, 45, 18, 59, 84},
		{19, 36, 80, 99, 97},
		{67, 42, 90, 97, 13},
		{45, 93, 94, 73, 23},
		{91, 28, 47, 98, 30},
		{77, 95, 12, 71, 58},
		{90, 23, 91, 28, 81},
		{45, 20, 80, 27, 72},
		{63, 46, 35, 83, 20},
		{97, 27, 27, 35, 16},
		{95, 38, 13, 42, 65},
		{87, 30, 14, 34, 32},
		{47, 52, 99, 77, 36},
		{90, 36, 71, 33, 96},
		{91, 14, 26, 80, 88},
		{34, 43, 28, 35, 55},
		{74, 96, 94, 69, 15},
		{12, 77, 25, 17, 58},
		{65, 95, 63, 31, 74},
		{35, 26, 19, 90, 83},
		{61, 47, 33, 52, 51},
		{88, 35, 91, 98, 22},
		{65, 18, 98, 17, 95},
		{61, 55, 43, 80, 34},
		{82, 78, 27, 81, 48},
		{76, 36, 18, 12, 26},
		{13, 23, 86, 94, 57},
		{41, 45, 11, 93, 33},
		{70, 38, 48, 46, 54},
		{85, 76, 59, 19, 12},
		{77, 32, 50, 12, 83},
		{24, 54, 98, 34, 47},
		{98, 21, 49, 16, 63},
		{47, 68, 11, 89, 87},
		{24, 51, 90, 74, 35},
		{42, 36, 88, 54, 87},
		{32, 71, 67, 31, 48},
		{84, 78, 22, 75, 90},
		{57, 14, 86, 82, 24},
		{72, 15, 77, 80, 11},
		{86, 32, 14, 92, 11},
		{49, 69, 28, 79, 22},
		{15, 76, 57, 11, 71},
		{47, 79, 85, 62, 81},
		{32, 46, 55, 19, 54},
		{41, 24, 55, 45, 73},
		{66, 39, 12, 37, 86},
		{56, 59, 13, 53, 27},
		{54, 30, 16, 83, 93},
		{87, 23, 31, 65, 73},
		{37, 86, 23, 85, 44},
		{33, 47, 85, 53, 20},
		{54, 44, 26, 75, 11},
		{67, 49, 86, 26, 53},
		{37, 75, 93, 46, 63},
		{52, 42, 39, 24, 84},
		{62, 72, 65, 15, 71},
		{60, 93, 24, 59, 98},
		{31, 81, 26, 97, 47},
		{50, 75, 34, 13, 56},
		{43, 97, 47, 40, 50},
		{37, 96, 58, 46, 65},
		{36, 29, 49, 81, 87},
		{80, 48, 49, 30, 11},
		{14, 54, 74, 42, 62},
		{56, 31, 79, 37, 81},
		{68, 41, 97, 22, 77},
		{74, 15, 97, 42, 51},
		{78, 61, 38, 56, 86},
		{84, 50, 55, 22, 91},
		{24, 51, 29, 44, 10},
		{84, 19, 53, 30, 88},
		{95, 40, 48, 27, 32},
		{23, 95, 85, 25, 18},
		{70, 61, 78, 13, 32},
		{77, 88, 44, 93, 67},
		{69, 15, 61, 82, 14},
		{30, 89, 72, 39, 21},
		{39, 92, 21, 45, 90},
		{43, 77, 16, 63, 17},
		{57, 92, 67, 31, 54},
		{80, 24, 64, 65, 46},
		{72, 96, 97, 77, 51},
		{98, 94, 16, 27, 81},
		{73, 80, 79, 80, 46},
		{39, 54, 34, 59, 16},
		{95, 57, 76, 66, 10},
		{83, 34, 17, 60, 51},
		{40, 82, 73, 62, 79},
		{11, 45, 44, 88, 42},
		{64, 74, 23, 92, 79},
		{74, 21, 27, 81, 96},
		{28, 26, 41, 15, 90},
		{65, 36, 30, 93, 94},
		{85, 94, 77, 87, 90},
		{99, 28, 97, 15, 22},
		{69, 14, 95, 28, 63},
		{52, 87, 12, 44, 60},
		{62, 26, 85, 46, 83},
		{35, 27, 77, 65, 81},
		{85, 99, 65, 62, 47},
		{96, 61, 85, 99, 86},
		{24, 35, 79, 18, 29},
		{17, 74, 14, 38, 36},
		{37, 17, 89, 71, 78},
		{18, 52, 23, 94, 23},
		{54, 11, 85, 95, 45},
		{69, 79, 54, 50, 28},
		{42, 47, 67, 58, 69},
		{28, 74, 76, 61, 82},
		{37, 81, 21, 41, 35},
		{66, 28, 63, 68, 20},
		{12, 49, 11, 61, 91},
		{62, 44, 15, 88, 15},
		{74, 56, 70, 27, 60},
		{25, 47, 99, 64, 85},
		{30, 17, 19, 35, 74},
		{36, 72, 72, 46, 70},
		{76, 84, 76, 57, 39},
		{69, 31, 58, 71, 45},
		{22, 51, 87, 29, 86},
		{64, 34, 44, 50, 63},
		{75, 56, 49, 68, 47},
		{95, 14, 79, 64, 87},
		{50, 86, 84, 39, 24},
		{72, 23, 48, 43, 69},
		{73, 38, 81, 89, 32},
		{52, 95, 50, 13, 76},
		{29, 42, 70, 61, 85},
		{54, 27, 33, 86, 12},
		{36, 21, 64, 80, 22},
		{91, 65, 29, 45, 38},
		{37, 54, 71, 63, 91},
		{52, 59, 89, 61, 20},
		{64, 55, 81, 59, 87},
		{72, 51, 41, 63, 69},
		{20, 15, 77, 80, 53},
		{27, 74, 21, 57, 37},
		{62, 76, 32, 68, 49},
		{15, 43, 47, 76, 97},
		{63, 50, 76, 16, 48},
		{19, 96, 19, 77, 27},
		{30, 72, 43, 68, 43},
		{88, 49, 78, 59, 73},
		{53, 15, 69, 20, 62},
		{32, 58, 97, 55, 74},
		{96, 41, 19, 94, 20},
		{97, 75, 63, 18, 88},
		{75, 32, 84, 97, 96}
	},
	{
		{33, 76, 69, 16, 28},
		{86, 24, 73, 27, 26},
		{28, 56, 98, 77, 71},
		{36, 69, 48, 14, 65},
		{61, 22, 98, 77, 28},
		{16, 36, 52, 65, 10},
		{29, 56, 36, 54, 28},
		{85, 25, 69, 96, 51},
		{91, 79, 62, 76, 98},
		{30, 97, 51, 16, 31},
		{51, 73, 92, 12, 22},
		{50, 47, 73, 30, 32},
		{24, 76, 25, 68, 63},
		{66, 30, 26, 56, 77},
		{16, 90, 40, 55, 19},
		{96, 38, 73, 61, 27},
		{72, 91, 98, 87, 13},
		{64, 95, 35, 52, 35},
		{95, 99, 95, 76, 93},
		{77, 89, 80, 59, 36},
		{27, 28, 95, 81, 89},
		{15, 54, 68, 92, 83},
		{36, 66, 26, 91, 15},
		{77, 55, 60, 94, 40},
		{75, 43, 32, 23, 40},
		{59, 42, 40, 70, 55},
		{41, 33, 96, 79, 19},
		{43, 99, 18, 24, 39},
		{31, 48, 45, 30, 89},
		{97, 32, 46, 27, 98},
		{49, 12, 43, 38, 97},
		{86, 72, 43, 21, 50},
		{25, 16, 54, 36, 42},
		{59, 67, 80, 53, 39},
		{85, 65, 12, 93, 87},
		{15, 85, 38, 89, 17},
		{16, 66, 23, 29, 82},
		{12, 95, 32, 93, 88},
		{73, 82, 24, 45, 33},
		{66, 13, 17, 31, 99},
		{29, 50, 53, 75, 80},
		{21, 89, 12, 87, 16},
		{18, 64, 76, 36, 67},
		{75, 59, 44, 80, 67},
		{55, 34, 79, 39, 72},
		{99, 25, 52, 77, 89},
		{85, 36, 74, 66, 89},
		{27, 32, 28, 13, 33},
		{16, 51, 83, 79, 48},
		{54, 33, 37, 28, 54},
		{68, 93, 59, 46, 30},
		{82, 37, 80, 20, 22},
		{46, 35, 44, 69, 19},
		{69, 51, 30, 68, 19},
		{89, 75, 45, 26, 87},
		{46, 50, 50, 91, 59},
		{20, 97, 54, 23, 73},
		{96, 82, 99, 36, 87},
		{66, 93, 28, 61, 96},
		{72, 81, 91, 33, 55},
		{26, 44, 73, 42, 27},
		{17, 67, 91, 12, 37},
		{23, 34, 45, 17, 16},
		{26, 20, 94, 17, 88},
		{38, 56, 82, 17, 72},
		{41, 37, 83, 60, 42},
		{87, 62, 47, 66, 14},
		{82, 22, 53, 61, 42},
		{93, 90, 12, 78, 27},
		{19, 75, 53, 97, 65},
		{80, 76, 31, 57, 10},
		{12, 26, 57, 27, 36},
		{20, 96, 97, 90, 95},
		{31, 56, 75, 50, 24},
		{32, 57, 63, 50, 61},
		{70, 33, 86, 81, 22},
		{23, 24, 33, 98, 18},
		{40, 88, 88, 75, 32},
		{22, 32, 59, 20, 55},
		{21, 89, 15, 57, 44},
		{98, 49, 17, 48, 83},
		{30, 14, 84, 39, 17},
		{60, 61, 63, 11, 38},
		{62, 70, 43, 22, 21},
		{14, 72, 96, 23, 17},
		{72, 90, 96, 70, 92},
		{73, 49, 39, 11, 43},
		{26, 18, 56, 94, 82},
		{54, 86, 68, 24, 87},
		{61, 71, 22, 57, 60},
		{51, 97, 75, 50, 64},
		{23, 28, 78, 27, 94},
		{36, 34, 69, 28, 80},
		{62, 30, 40, 28, 34},
		{13, 31, 10, 22, 29},
		{80, 92, 39, 59, 19},
		{58, 45, 14, 24, 92},
		{26, 14, 32, 61, 10},
		{24, 34, 62, 32, 46},
		{79, 74, 95, 97, 67},
		{17, 83, 52, 22, 72},
		{91, 61, 29, 37, 41},
		{29, 92, 53, 27, 63},
		{28, 26, 37, 98, 20},
		{71, 32, 19, 37, 33},
		{59, 73, 60, 90, 86},
		{87, 30, 74, 38, 26},
		{99, 32, 93, 81, 65},
		{49, 64, 84, 19, 54},
		{64, 32, 75, 17, 41},
		{18, 39, 24, 40, 94},
		{56, 90, 13, 31, 44},
		{36, 46, 26, 40, 36},
		{90, 36, 25, 49, 34},
		{32, 81, 19, 24, 88},
		{16, 84, 74, 41, 64},
		{57, 20, 79, 15, 50},
		{89, 36, 60, 81, 56},
		{78, 21, 96, 83, 85},
		{30, 59, 58, 84, 19},
		{17, 63, 83, 73, 53},
		{33, 84, 68, 24, 18},
		{80, 99, 66, 97, 24},
		{13, 38, 51, 39, 89},
		{38, 91, 26, 46, 12},
		{38, 61, 28, 79, 48},
		{15, 95, 21, 86, 89},
		{14, 19, 94, 35, 95},
		{54, 70, 60, 72, 93},
		{76, 89, 83, 74, 65},
		{63, 98, 66, 30, 40},
		{84, 73, 19, 37, 85},
		{31, 50, 65, 56, 21},
		{97, 99, 45, 53, 62},
		{15, 61, 77, 52, 17},
		{51, 46, 21, 13, 63},
		{33, 38, 20, 90, 52},
		{26, 82, 61, 25, 93},
		{23, 48, 98, 57, 28},
		{98, 92, 84, 66, 21},
		{86, 27, 20, 40, 59},
		{19, 14, 91, 24, 41},
		{76, 42, 54, 25, 23},
		{78, 35, 84, 71, 48},
		{64, 96, 37, 71, 34},
		{89, 78, 65, 88, 92},
		{31, 18, 97, 66, 55},
		{44, 79, 68, 40, 69},
		{17, 36, 45, 17, 64},
		{77, 38, 53, 34, 56},
		{75, 66, 98, 50, 62},
		{92, 13, 13, 99, 11},
		{64, 46, 62, 81, 77},
		{90, 14, 33, 82, 79},
		{42, 43, 57, 88, 65},
		{89, 93, 82, 67, 90},
		{43, 35, 83, 52, 95},
		{64, 35, 21, 76, 20},
		{60, 19, 55, 40, 67},
		{82, 20, 58, 23, 94},
		{30, 20, 42, 27, 49},
		{71, 17, 22, 27, 27},
		{33, 86, 56, 52, 51},
		{34, 83, 70, 89, 11},
		{31, 56, 39, 46, 55},
		{91, 69, 18, 93, 13},
		{57, 42, 60, 15, 85},
		{92, 65, 54, 30, 16},
		{27, 39, 55, 52, 69},
		{69, 39, 39, 98, 43},
		{18, 41, 26, 78, 67},
		{67, 31, 80, 11, 18},
		{32, 56, 34, 15, 79},
		{39, 74, 44, 13, 83},
		{11, 25, 28, 30, 92},
		{99, 34, 35, 66, 71},
		{10, 20, 63, 56, 45},
		{84, 43, 47, 98, 14},
		{15, 64, 66, 35, 29},
		{12, 62, 48, 95, 84},
		{11, 29, 85, 75, 70},
		{86, 49, 91, 85, 64},
		{51, 79, 35, 41, 78},
		{86, 12, 32, 51, 32},
		{50, 46, 73, 43, 77},
		{82, 81, 86, 10, 78},
		{20, 28, 18, 15, 17},
		{15, 75, 25, 50, 32},
		{95, 12, 19, 84, 72},
		{91, 89, 74, 80, 22},
		{67, 27, 34, 35, 81},
		{21, 27, 32, 61, 41},
		{53, 69, 72, 29, 52},
		{86, 54, 53, 31, 30},
		{20, 48, 58, 39, 87},
		{39, 39, 98, 98, 55},
		{94, 12, 30, 72, 21},
		{33, 56, 99, 54, 62},
		{38, 30, 70, 14, 95},
		{73, 37, 22, 59, 70}
	},
	{
		{65, 85, 25, 91, 70},
		{48, 81, 43, 53, 69},
		{72, 63, 68, 96, 13},
		{50, 79, 26, 59, 79},
		{65, 65, 59, 56, 52},
		{98, 70, 53, 70, 81},
		{24, 10, 55, 26, 35},
		{98, 72, 31, 61, 41},
		{77, 95, 51, 18, 52},
		{36, 15, 64, 11, 17},
		{35, 50, 38, 38, 19},
		{31, 10, 91, 89, 84},
		{30, 19, 54, 21, 81},
		{97, 43, 60, 20, 85},
		{82, 44, 53, 20, 88},
		{62, 57, 81, 84, 75},
		{20, 85, 38, 33, 25},
		{74, 75, 67, 84, 39},
		{94, 32, 54, 89, 53},
		{36, 42, 99, 40, 34},
		{98, 95, 21, 27, 36},
		{11, 89, 46, 32, 42},
		{77, 87, 75, 24, 69},
		{63, 32, 75, 68, 87},
		{36, 56, 46, 97, 54},
		{71, 77, 19, 91, 13},
		{35, 12, 45, 77, 24},
		{54, 21, 17, 14, 80},
		{42, 73, 29, 36, 54},
		{60, 68, 51, 48, 57},
		{98, 88, 94, 72, 96},
		{20, 57, 29, 71, 44},
		{75, 69, 77, 59, 87},
		{27, 91, 10, 26, 90},
		{60, 76, 55, 24, 11},
		{37, 29, 72, 31, 47},
		{10, 66, 86, 47, 37},
		{50, 41, 42, 14, 59},
		{40, 97, 78, 76, 46},
		{68, 98, 81, 65, 53},
		{63, 54, 91, 81, 94},
		{61, 66, 65, 67, 45},
		{59, 39, 60, 33, 41},
		{57, 64, 82, 84, 22},
		{71, 79, 63, 30, 19},
		{34, 25, 21, 96, 50},
		{25, 92, 75, 54, 87},
		{78, 89, 99, 53, 26},
		{25, 47, 92, 35, 88},
		{27, 69, 55, 40, 68},
		{56, 38, 93, 97, 52},
		{57, 84, 80, 91, 98},
		{93, 65, 24, 20, 66},
		{91, 94, 45, 67, 66},
		{73, 78, 62, 88, 23},
		{61, 56, 85, 99, 65},
		{46, 53, 30, 62, 61},
		{52, 90, 60, 55, 47},
		{72, 69, 26, 92, 40},
		{61, 98, 66, 78, 77},
		{80, 66, 26, 36, 53},
		{80, 13, 70, 48, 43},
		{71, 88, 15, 32, 20},
		{35, 68, 99, 18, 48},
		{69, 77, 69, 84, 44},
		{51, 82, 38, 95, 85},
		{43, 46, 33, 20, 49},
		{87, 57, 83, 34, 82},
		{18, 87, 78, 23, 85},
		{19, 49, 86, 80, 25},
		{71, 23, 98, 52, 13},
		{50, 53, 72, 78, 57},
		{34, 63, 38, 69, 71},
		{38, 33, 73, 58, 54},
		{41, 64, 64, 84, 42},
		{68, 85, 23, 18, 11},
		{17, 68, 66, 54, 60},
		{13, 81, 51, 26, 26},
		{98, 78, 42, 37, 25},
		{98, 70, 22, 49, 59},
		{98, 22, 69, 90, 49},
		{96, 88, 84, 40, 76},
		{91, 69, 76, 68, 78},
		{36, 27, 60, 13, 42},
		{59, 13, 97, 40, 69},
		{79, 28, 41, 57, 67},
		{28, 13, 82, 47, 28},
		{88, 54, 14, 60, 48},
		{84, 31, 82, 39, 53},
		{92, 59, 24, 39, 35},
		{37, 35, 25, 20, 50},
		{24, 65, 43, 73, 88},
		{77, 18, 81, 37, 95},
		{78, 61, 45, 17, 24},
		{17, 55, 74, 17, 67},
		{52, 92, 89, 92, 11},
		{48, 62, 76, 71, 98},
		{60, 23, 86, 74, 74},
		{61, 26, 74, 96, 45},
		{62, 31, 97, 68, 78},
		{39, 75, 42, 25, 94},
		{32, 99, 49, 98, 33},
		{17, 97, 24, 92, 63},
		{15, 51, 77, 42, 35},
		{71, 79, 18, 61, 54},
		{11, 76, 58, 67, 25},
		{39, 23, 20, 71, 52},
		{58, 93, 57, 92, 71},
		{30, 64, 31, 22, 17},
		{42, 16, 33, 39, 24},
		{26, 78, 82, 71, 52},
		{17, 86, 42, 21, 52},
		{33, 44, 36, 54, 30},
		{30, 78, 13, 23, 27},
		{71, 91, 67, 54, 61},
		{20, 94, 78, 28, 90},
		{34, 66, 80, 31, 22},
		{30, 46, 35, 46, 56},
		{71, 99, 35, 43, 15},
		{84, 57, 21, 12, 42},
		{86, 24, 88, 88, 66},
		{62, 53, 75, 49, 10},
		{59, 21, 47, 45, 22},
		{56, 64, 66, 14, 77},
		{15, 58, 42, 13, 59},
		{79, 22, 28, 23, 93},
		{55, 64, 21, 30, 24},
		{94, 79, 85, 94, 49},
		{99, 53, 18, 59, 87},
		{49, 27, 86, 22, 71},
		{82, 58, 42, 75, 91},
		{62, 13, 74, 25, 27},
		{56, 61, 84, 58, 99},
		{13, 83, 89, 63, 61},
		{83, 89, 17, 51, 13},
		{51, 18, 87, 18, 34},
		{60, 53, 89, 51, 46},
		{11, 53, 98, 33, 77},
		{54, 43, 30, 93, 27},
		{88, 44, 65, 93, 72},
		{58, 68, 71, 61, 38},
		{82, 99, 10, 65, 46},
		{13, 99, 95, 71, 49},
		{18, 39, 50, 96, 43},
		{92, 31, 19, 17, 82},
		{17, 21, 71, 74, 40},
		{25, 39, 72, 94, 82},
		{61, 45, 31, 76, 22},
		{89, 77, 59, 12, 45},
		{48, 11, 63, 26, 84},
		{84, 90, 77, 80, 29},
		{22, 99, 94, 86, 40},
		{32, 63, 77, 74, 93},
		{15, 71, 10, 65, 61},
		{35, 34, 20, 20, 24},
		{86, 50, 68, 43, 57},
		{15, 52, 80, 58, 51},
		{36, 65, 20, 92, 53},
		{94, 66, 87, 56, 63},
		{79, 35, 25, 67, 51},
		{82, 89, 49, 58, 78},
		{32, 70, 43, 84, 75},
		{23, 13, 94, 97, 99},
		{73, 32, 65, 44, 58},
		{34, 81, 20, 29, 74},
		{20, 29, 65, 93, 48},
		{21, 89, 50, 27, 44},
		{52, 24, 67, 65, 93},
		{33, 60, 47, 21, 41},
		{50, 23, 80, 82, 71},
		{97, 60, 99, 42, 39},
		{24, 47, 87, 82, 33},
		{10, 13, 55, 13, 42},
		{13, 18, 77, 56, 22},
		{32, 65, 87, 99, 41},
		{36, 96, 27, 72, 10},
		{43, 23, 26, 37, 88},
		{27, 65, 54, 42, 71},
		{31, 67, 94, 39, 97},
		{93, 28, 27, 94, 69},
		{98, 53, 35, 99, 60},
		{45, 32, 19, 23, 33},
		{33, 50, 70, 11, 45},
		{81, 85, 80, 13, 15},
		{93, 70, 63, 20, 40},
		{46, 97, 35, 24, 96},
		{36, 52, 28, 49, 87},
		{43, 51, 97, 49, 40},
		{88, 57, 86, 49, 88},
		{18, 19, 48, 45, 96},
		{30, 71, 19, 54, 82},
		{24, 33, 90, 61, 79},
		{73, 50, 89, 86, 18},
		{65, 60, 60, 40, 49},
		{49, 12, 76, 63, 59},
		{90, 45, 73, 65, 32},
		{68, 17, 61, 50, 89},
		{69, 27, 83, 12, 65},
		{89, 89, 53, 51, 62},
		{36, 55, 11, 25, 68}
	},
	{
		{62, 59, 12, 65, 85},
		{48, 67, 96, 41, 30},
		{90, 41, 76, 83, 64},
		{20, 82, 57, 56, 85},
		{14, 40, 86, 38, 45},
		{95, 73, 82, 36, 50},
		{54, 40, 69, 31, 73},
		{83, 63, 22, 75, 81},
		{76, 39, 47, 34, 98},
		{92, 67, 31, 68, 80},
		{70, 20, 94, 55, 57},
		{46, 77, 97, 82, 34},
		{91, 74, 48, 53, 83},
